epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1541.16,0.56813,0.43114,0.8154,0.91203,0.99566,0.99208,0.84346,0.53951,0.37181,0.92962,0.003169,0.003169,0.003169
71,1563.2,0.58149,0.4485,0.83485,0.9157,0.98645,0.99208,0.86927,0.51308,0.34779,0.92712,0.00307,0.00307,0.00307
72,1587.81,0.54826,0.41412,0.84632,0.93751,0.97011,0.99208,0.84843,0.53996,0.33417,0.92855,0.002971,0.002971,0.002971
73,1615.79,0.56482,0.42744,0.83179,0.92461,0.98022,0.99208,0.85864,0.55007,0.33911,0.93033,0.002872,0.002872,0.002872
74,1638.53,0.56526,0.41413,0.82799,0.91477,0.99112,0.99208,0.86528,0.51319,0.34232,0.92537,0.002773,0.002773,0.002773
75,1660.69,0.57476,0.44582,0.82444,0.91346,0.98028,0.98625,0.85642,0.50641,0.36869,0.9223,0.002674,0.002674,0.002674
76,1681.67,0.53849,0.40955,0.81676,0.91571,0.97175,0.98917,0.84596,0.55215,0.35429,0.92878,0.002575,0.002575,0.002575
77,1697.31,0.54333,0.40503,0.82534,0.93003,0.95504,0.98625,0.85307,0.5603,0.34069,0.93091,0.002476,0.002476,0.002476
78,1721.18,0.56584,0.40518,0.82714,0.93281,0.95249,0.99208,0.86444,0.52923,0.35381,0.92383,0.002377,0.002377,0.002377
79,1741.7,0.55373,0.40708,0.81707,0.89684,0.9828,0.98981,0.85285,0.52832,0.35632,0.92354,0.002278,0.002278,0.002278
80,1761.77,0.58074,0.43509,0.82979,0.88417,0.99204,0.98981,0.85302,0.54593,0.35587,0.92826,0.002179,0.002179,0.002179
81,1785.14,0.55957,0.40181,0.82487,0.88244,0.99121,0.98981,0.85493,0.54345,0.35569,0.92886,0.00208,0.00208,0.00208
82,1804.59,0.52869,0.39488,0.82049,0.88795,0.99233,0.98981,0.86401,0.50709,0.34206,0.92315,0.001981,0.001981,0.001981
83,1823.94,0.54132,0.38922,0.81404,0.8932,0.99163,0.98981,0.87074,0.52303,0.33938,0.92363,0.001882,0.001882,0.001882
84,1841.61,0.55996,0.40522,0.83621,0.89567,0.99259,0.98981,0.85147,0.56588,0.33481,0.93127,0.001783,0.001783,0.001783
85,1861.91,0.54468,0.39653,0.81578,0.89658,0.99458,0.98981,0.84986,0.57959,0.33642,0.93395,0.001684,0.001684,0.001684
86,1879.72,0.53787,0.38883,0.82338,0.95586,0.93326,0.98981,0.86065,0.53275,0.32303,0.92721,0.001585,0.001585,0.001585
87,1897.56,0.55434,0.3944,0.81052,0.95447,0.93205,0.98981,0.86498,0.50876,0.3246,0.9223,0.001486,0.001486,0.001486
88,1914.18,0.56049,0.40389,0.81683,0.89474,0.9987,0.98981,0.85689,0.50645,0.32026,0.92118,0.001387,0.001387,0.001387
89,1929.25,0.55881,0.37792,0.81795,0.89436,0.99632,0.98981,0.86499,0.50457,0.32303,0.92091,0.001288,0.001288,0.001288
